,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,01.03.22 06:00,"New drop: Strawberry Shortcake Oat Bites. Crisp oats, freeze-dried strawberries, and a soft vanilla finish. Available Friday. 🍓",,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22.03.22 06:00,Ingredient spotlight: every Cocoa Sea Salt Bite starts with whole-grain oats and real cocoa. Nothing hard to pronounce.,,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22.03.22 08:30,Desk-snack formula: one pouch of Maple Cinnamon Clusters + your favorite iced coffee = the 3 p.m. reset.,,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22.03.22 06:00,"Help us choose our next limited flavor: Lemon Poppy, Toasted Coconut, or Peanut Butter Banana? Reply with your pick.", https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_flavor_poll.png ,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24.03.22 06:00,"A peek behind the pouch: this week’s Berry Almond batch is being packed, sealed, and quality-checked before it heads out.",,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26.03.22 06:00,Weekend stock-up: build any 3-pouch bundle and shipping is on us through Sunday. Your snack drawer will thank you.,,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27.03.22 06:00,"New drop: Strawberry Shortcake Oat Bites. Crisp oats, freeze-dried strawberries, and a soft vanilla finish. Available Friday. 🍓",,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,27.03.22 06:05,"Today’s studio debate: iced coffee all year, or only when it’s warm outside? Our team is split right down the middle.",https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_iced_coffee_debate.png,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,28.03.22 09:00,Desk-snack formula: one pouch of Maple Cinnamon Clusters + your favorite iced coffee = the 3 p.m. reset.,,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28.03.22 08:30,"Important question: are movie-night snacks better sweet, salty, or a little bit of both? We’re firmly in the mixed-bowl camp.",,,0,0,0,Crumbloom,crumbloom,Oat-based snacks for every kind of craving.,https://raw.githubusercontent.com/aarushi73/off-topic1A/main/crumbloom_logo.png,4523,0,0,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,
